Date,Close,Open,High,Low,Daily High,Daily Low,Weekly High,Weekly Low,Monthly High,Monthly Low,Quarterly High,Quarterly Low
2022-08-05,141.2188,143.4688,143.8438,140.5938,143.8438,140.5938,136.6562,136.6562,136.6562,136.6562,150.4062,132.2812
2022-08-04,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,150.4062,132.2812
2022-08-03,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,150.4062,132.2812
2022-08-02,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,150.4062,132.2812
2022-08-01,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,150.4062,132.2812
2022-07-29,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-28,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-27,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-26,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-25,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-22,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-21,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-20,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-19,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-18,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-15,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-14,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-13,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-12,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-11,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-08,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-07,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-06,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-05,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-07-01,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-06-30,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.0312,132.2812,150.4062,132.2812
2022-06-29,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.6875,134.9375,160.5625,146.3125
2022-06-28,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.6875,134.9375,160.5625,146.3125
2022-06-27,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,142.6875,134.9375,160.5625,146.3125
2022-06-24,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.8125,132.2812,142.6875,134.9375,160.5625,146.3125
2022-06-23,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.8125,132.2812,142.6875,134.9375,160.5625,146.3125
2022-06-22,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.8125,132.2812,142.6875,134.9375,160.5625,146.3125
2022-06-21,136.6562,136.6562,136.6562,136.6562,136.6562,136.6562,136.8125,132.2812,142.6875,134.9375,160.5625,146.3125
2022-06-17,135.8125,134.875,136.4688,134.875,136.4688,134.875,139.4375,136.375,142.6875,134.9375,160.5625,146.3125
2022-06-16,134.6562,132.625,135.5312,132.625,135.5312,132.625,139.4375,136.375,142.6875,134.9375,160.5625,146.3125
2022-06-15,133.4062,133.0625,133.9375,132.875,133.9375,132.875,139.4375,136.375,142.6875,134.9375,160.5625,146.3125
2022-06-14,132.375,133.6875,134.3125,132.2812,134.3125,132.2812,139.4375,136.375,142.6875,134.9375,160.5625,146.3125
2022-06-13,133.5938,136.5,136.8125,132.75,136.8125,132.75,139.4375,136.375,142.6875,134.9375,160.5625,146.3125
2022-06-10,136.6562,137.9688,139.1875,136.375,139.1875,136.375,142.0312,138.5,142.6875,134.9375,160.5625,146.3125
2022-06-09,138.0938,137.9688,138.2812,137.3125,138.2812,137.3125,142.0312,138.5,142.6875,134.9375,160.5625,146.3125
2022-06-08,138.0,138.7812,138.7812,137.8125,138.7812,137.8125,142.0312,138.5,142.6875,134.9375,160.5625,146.3125
2022-06-07,139.0,137.6875,139.125,137.5,139.125,137.5,142.0312,138.5,142.6875,134.9375,160.5625,146.3125
2022-06-06,137.7188,139.375,139.4375,137.5312,139.4375,137.5312,142.0312,138.5,142.6875,134.9375,160.5625,146.3125
2022-06-03,139.1875,139.625,139.875,138.5,139.875,138.5,142.6875,140.0312,142.6875,134.9375,160.5625,146.3125
2022-06-02,139.75,139.9062,140.3438,139.1875,140.3438,139.1875,142.6875,140.0312,142.6875,134.9375,160.5625,146.3125
2022-06-01,139.625,140.4062,141.0,139.25,141.0,139.25,142.6875,140.0312,142.6875,134.9375,160.5625,146.3125
2022-05-31,140.4375,141.9062,142.0312,139.6875,142.0312,139.6875,142.6875,140.0312,142.6875,134.9375,160.5625,146.3125
2022-05-27,141.9375,141.75,142.6875,141.5312,142.6875,141.5312,142.0625,137.9375,150.4062,138.4375,160.5625,146.3125
2022-05-26,141.6875,141.8125,142.5625,140.9688,142.5625,140.9688,142.0625,137.9375,150.4062,138.4375,160.5625,146.3125
2022-05-25,141.8438,141.9375,142.6875,141.4688,142.6875,141.4688,142.0625,137.9375,150.4062,138.4375,160.5625,146.3125
2022-05-24,141.9062,140.4688,142.5,140.2188,142.5,140.2188,142.0625,137.9375,150.4062,138.4375,160.5625,146.3125
2022-05-23,140.3125,141.6875,141.6875,140.0312,141.6875,140.0312,142.0625,137.9375,150.4062,138.4375,160.5625,146.3125
2022-05-20,141.7812,140.9375,142.0312,140.2188,142.0312,140.2188,141.0938,134.9375,150.4062,138.4375,160.5625,146.3125
2022-05-19,140.5938,140.2188,142.0625,139.7188,142.0625,139.7188,141.0938,134.9375,150.4062,138.4375,160.5625,146.3125
2022-05-18,140.3125,138.4062,140.5312,137.9375,140.5312,137.9375,141.0938,134.9375,150.4062,138.4375,160.5625,146.3125
2022-05-17,138.6562,139.625,139.8125,138.1875,139.8125,138.1875,141.0938,134.9375,150.4062,138.4375,160.5625,146.3125
2022-05-16,139.9062,139.0312,140.4062,138.7812,140.4062,138.7812,141.0938,134.9375,150.4062,138.4375,160.5625,146.3125
2022-05-13,139.0938,140.5938,140.625,138.875,140.625,138.875,140.75,136.0,150.4062,138.4375,160.5625,146.3125
2022-05-12,140.9375,139.5,141.0938,139.4375,141.0938,139.4375,140.75,136.0,150.4062,138.4375,160.5625,146.3125
2022-05-11,139.625,138.4062,139.875,137.2188,139.875,137.2188,140.75,136.0,150.4062,138.4375,160.5625,146.3125
2022-05-10,138.5938,137.5312,139.4688,137.125,139.4688,137.125,140.75,136.0,150.4062,138.4375,160.5625,146.3125
2022-05-09,136.9375,136.2188,137.75,134.9375,137.75,134.9375,140.75,136.0,150.4062,138.4375,160.5625,146.3125
2022-05-06,136.3125,137.7188,137.9062,136.0,137.9062,136.0,143.2812,139.8438,150.4062,138.4375,160.5625,146.3125
2022-05-05,137.2812,139.5938,140.0938,136.5938,140.0938,136.5938,143.2812,139.8438,150.4062,138.4375,160.5625,146.3125
